"GEO_ID","NAME","B01003_001E","B01003_001M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total",
"1600000US0100100","Abanda CDP, Alabama","231","199",
"1600000US0100124","Abbeville city, Alabama","2231","318",
"1600000US0100460","Adamsville city, Alabama","4381","33",
"1600000US0100484","Addison town, Alabama","697","161",
"1600000US0100676","Akron town, Alabama","385","251",
"1600000US0100820","Alabaster city, Alabama","33133","48",
"1600000US0100988","Albertville city, Alabama","22268","30",
"1600000US0101132","Alexander City city, Alabama","14765","43",
"1600000US0101180","Alexandria CDP, Alabama","4092","664",
"1600000US0101228","Aliceville city, Alabama","2244","448",
"1600000US0101396","Allgood town, Alabama","867","272",
"1600000US0101660","Altoona town, Alabama","1444","399",
"1600000US0101708","Andalusia city, Alabama","8764","41",
"1600000US0101756","Anderson town, Alabama","255","96",
"1600000US0101852","Anniston city, Alabama","21455","45",
"1600000US0102116","Arab city, Alabama","8462","134",
"1600000US0102260","Ardmore town, Alabama","1276","283",
"1600000US0102320","Argo town, Alabama","4411","160",
"1600000US0102428","Ariton town, Alabama","660","194",
"1600000US0102500","Arley town, Alabama","625","240",
"1600000US0102836","Ashford town, Alabama","2476","235",
"1600000US0102860","Ashland town, Alabama","1741","390",
"1600000US0102908","Ashville city, Alabama","2096","452",
"1600000US0102956","Athens city, Alabama","25213","34",
"1600000US0103004","Atmore city, Alabama","8734","32",
"1600000US0103028","Attalla city, Alabama","5872","18",
"1600000US0103076","Auburn city, Alabama","74637","44",
"1600000US0103220","Autaugaville town, Alabama","999","288",
"1600000US0103364","Avon town, Alabama","490","107",
"1600000US0103508","Axis CDP, Alabama","92","78",
"1600000US0103556","Babbie town, Alabama","506","126",
"1600000US0103676","Baileyton town, Alabama","1114","374",
"1600000US0103724","Bakerhill town, Alabama","216","106",
"1600000US0103820","Ballplay CDP, Alabama","1391","349",
"1600000US0103940","Banks town, Alabama","249","124",
"1600000US0104660","Bay Minette city, Alabama","7824","23",
"1600000US0104684","Bayou La Batre city, Alabama","2520","545",
"1600000US0104852","Bear Creek town, Alabama","1574","485",
"1600000US0104900","Beatrice town, Alabama","179","86",
"1600000US0104948","Beaverton town, Alabama","166","73",
"1600000US0105140","Belgreen CDP, Alabama","42","37",
"1600000US0105164","Belk town, Alabama","384","147",
"1600000US0105188","Bellamy CDP, Alabama","126","104",
"1600000US0105212","Belle Fontaine CDP, Alabama","739","291",
"1600000US0105692","Benton town, Alabama","50","34",
"1600000US0105812","Berlin town, Alabama","639","269",
"1600000US0105932","Berry town, Alabama","994","229",
"1600000US0105980","Bessemer city, Alabama","26171","66",
"1600000US0106460","Billingsley town, Alabama","133","88",
"1600000US0107000","Birmingham city, Alabama","202234","625",
"1600000US0107120","Black town, Alabama","395","272",
"1600000US0107456","Blountsville town, Alabama","1887","456",
"1600000US0107588","Blue Ridge CDP, Alabama","1442","307",
"1600000US0107672","Blue Springs town, Alabama","85","41",
"1600000US0107912","Boaz city, Alabama","10091","547",
"1600000US0108104","Boligee town, Alabama","242","119",
"1600000US0108248","Bon Air town, Alabama","81","53",
"1600000US0108272","Bon Secour CDP, Alabama","2500","1351",
"1600000US0108680","Boykin CDP, Alabama","330","188",
"1600000US0109016","Brantley town, Alabama","966","228",
"1600000US0109064","Brantleyville CDP, Alabama","871","242",
"1600000US0109136","Brent city, Alabama","3214","18",
"1600000US0109208","Brewton city, Alabama","5288","22",
"1600000US0109328","Bridgeport city, Alabama","2316","381",
"1600000US0109400","Brighton city, Alabama","2904","592",
"1600000US0109424","Brilliant town, Alabama","1173","316",
"1600000US0109457","Bristow Cove CDP, Alabama","485","258",
"1600000US0109500","Brook Highland CDP, Alabama","7754","663",
"1600000US0109736","Brookside town, Alabama","1252","325",
"1600000US0109808","Brookwood town, Alabama","2406","429",
"1600000US0109880","Broomtown CDP, Alabama","228","119",
"1600000US0110240","Brundidge city, Alabama","2293","407",
"1600000US0110456","Bucks CDP, Alabama","13","21",
"1600000US0111032","Butler town, Alabama","2385","392",
"1600000US0111416","Calera city, Alabama","16126","57",
"1600000US0111488","Calvert CDP, Alabama","70","108",
"1600000US0111512","Camden city, Alabama","2128","502",
"1600000US0111680","Camp Hill town, Alabama","1324","318",
"1600000US0112016","Carbon Hill city, Alabama","1522","326",
"1600000US0112040","Cardiff town, Alabama","24","21",
"1600000US0112070","Carlisle-Rockledge CDP, Alabama","2472","503",
"1600000US0112112","Carlton CDP, Alabama","54","57",
"1600000US0112160","Carolina town, Alabama","255","81",
"1600000US0112304","Carrollton town, Alabama","1100","278",
"1600000US0112496","Castleberry town, Alabama","401","182",
"1600000US0112544","Catherine CDP, Alabama","0","13",
"1600000US0112760","Cedar Bluff town, Alabama","1700","325",
"1600000US0113264","Center Point city, Alabama","16422","32",
"1600000US0113648","Centre city, Alabama","3497","22",
"1600000US0113672","Centreville city, Alabama","2789","16",
"1600000US0114008","Chatom town, Alabama","789","251",
"1600000US0114104","Chelsea city, Alabama","14710","43",
"1600000US0114152","Cherokee town, Alabama","911","270",
"1600000US0114392","Chickasaw city, Alabama","6421","39",
"1600000US0114464","Childersburg city, Alabama","4768","26",
"1600000US0114728","Choccolocco CDP, Alabama","2843","594",
"1600000US0114968","Chunchula CDP, Alabama","241","171",
"1600000US0115064","Citronelle city, Alabama","3940","20",
"1600000US0115136","Clanton city, Alabama","8715","23",
"1600000US0115256","Clay city, Alabama","10320","51",
"1600000US0115304","Clayhatchee town, Alabama","637","217",
"1600000US0115376","Clayton town, Alabama","2512","303",
"1600000US0115472","Cleveland town, Alabama","1291","253",
"1600000US0115640","Clio city, Alabama","1195","281",
"1600000US0116000","Coaling town, Alabama","2112","548",
"1600000US0116080","Coats Bend CDP, Alabama","1119","284",
"1600000US0116240","Coffee Springs town, Alabama","197","97",
"1600000US0116264","Coffeeville town, Alabama","240","103",
"1600000US0116312","Coker town, Alabama","1068","364",
"1600000US0116600","Collinsville town, Alabama","2044","556",
"1600000US0116684","Colony town, Alabama","312","105",
"1600000US0116744","Columbia town, Alabama","876","386",
"1600000US0116768","Columbiana city, Alabama","4197","26",
"1600000US0116936","Concord CDP, Alabama","1641","418",
"1600000US0117176","Coosada town, Alabama","1074","226",
"1600000US0117368","Cordova city, Alabama","1709","336",
"1600000US0117704","Cottondale CDP, Alabama","3793","888",
"1600000US0117824","Cottonwood town, Alabama","1155","196",
"1600000US0117968","County Line town, Alabama","247","132",
"1600000US0118040","Courtland town, Alabama","846","323",
"1600000US0118088","Cowarts town, Alabama","2196","299",
"1600000US0118304","Creola city, Alabama","2764","530",
"1600000US0118856","Crossville town, Alabama","1920","331",
"1600000US0118952","Cuba town, Alabama","378","139",
"1600000US0118976","Cullman city, Alabama","17892","26",
"1600000US0119024","Cullomburg CDP, Alabama","263","171",
"1600000US0119216","Cusseta town, Alabama","101","72",
"1600000US0119336","Dadeville city, Alabama","3051","16",
"1600000US0119360","Daleville city, Alabama","4912","16",
"1600000US0119648","Daphne city, Alabama","27088","35",
"1600000US0119744","Dauphin Island town, Alabama","1771","371",
"1600000US0119816","Daviston town, Alabama","253","105",
"1600000US0119912","Dayton town, Alabama","67","90",
"1600000US0120008","Deatsville town, Alabama","2114","567",
"1600000US0120104","Decatur city, Alabama","57303","71",
"1600000US0120152","Deer Park CDP, Alabama","63","72",
"1600000US0120272","Delta CDP, Alabama","158","154",
"1600000US0120296","Demopolis city, Alabama","7134","255",
"1600000US0120392","Detroit town, Alabama","261","104",
"1600000US0120955","Dodge City town, Alabama","660","208",
"1600000US0121136","Dora city, Alabama","2725","514",
"1600000US0121184","Dothan city, Alabama","70318","418",
"1600000US0121280","Double Springs town, Alabama","1753","423",
"1600000US0121328","Douglas town, Alabama","1007","251",
"1600000US0121448","Dozier town, Alabama","450","284",
"1600000US0121890","Dunnavant CDP, Alabama","1184","390",
"1600000US0121952","Dutton town, Alabama","423","137",
"1600000US0122088","Eagle Point CDP, Alabama","2794","336",
