"GEO_ID","NAME","B01003_001E","B01003_001M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total",
"1600000US0100100","Abanda CDP, Alabama","174","158",
"1600000US0100124","Abbeville city, Alabama","2594","25",
"1600000US0100460","Adamsville city, Alabama","4404","23",
"1600000US0100484","Addison town, Alabama","725","202",
"1600000US0100676","Akron town, Alabama","318","125",
"1600000US0100820","Alabaster city, Alabama","32567","63",
"1600000US0100988","Albertville city, Alabama","21342","57",
"1600000US0101132","Alexander City city, Alabama","14705","31",
"1600000US0101180","Alexandria CDP, Alabama","4202","773",
"1600000US0101228","Aliceville city, Alabama","2466","474",
"1600000US0101396","Allgood town, Alabama","606","226",
"1600000US0101660","Altoona town, Alabama","861","180",
"1600000US0101708","Andalusia city, Alabama","8918","28",
"1600000US0101756","Anderson town, Alabama","242","72",
"1600000US0101852","Anniston city, Alabama","22097","46",
"1600000US0102116","Arab city, Alabama","8200","39",
"1600000US0102260","Ardmore town, Alabama","1490","301",
"1600000US0102320","Argo town, Alabama","4191","67",
"1600000US0102428","Ariton town, Alabama","713","230",
"1600000US0102500","Arley town, Alabama","519","165",
"1600000US0102836","Ashford town, Alabama","2209","202",
"1600000US0102860","Ashland town, Alabama","2113","402",
"1600000US0102908","Ashville city, Alabama","2424","478",
"1600000US0102956","Athens city, Alabama","24735","34",
"1600000US0103004","Atmore city, Alabama","9969","28",
"1600000US0103028","Attalla city, Alabama","5884","25",
"1600000US0103076","Auburn city, Alabama","61462","65",
"1600000US0103220","Autaugaville town, Alabama","903","219",
"1600000US0103364","Avon town, Alabama","454","102",
"1600000US0103508","Axis CDP, Alabama","1336","450",
"1600000US0103556","Babbie town, Alabama","554","165",
"1600000US0103676","Baileyton town, Alabama","872","238",
"1600000US0103724","Bakerhill town, Alabama","235","76",
"1600000US0103820","Ballplay CDP, Alabama","1707","412",
"1600000US0103940","Banks town, Alabama","110","55",
"1600000US0104660","Bay Minette city, Alabama","8990","34",
"1600000US0104684","Bayou La Batre city, Alabama","2543","34",
"1600000US0104852","Bear Creek town, Alabama","1185","313",
"1600000US0104900","Beatrice town, Alabama","266","122",
"1600000US0104948","Beaverton town, Alabama","256","100",
"1600000US0105140","Belgreen CDP, Alabama","78","33",
"1600000US0105164","Belk town, Alabama","247","85",
"1600000US0105188","Bellamy CDP, Alabama","469","201",
"1600000US0105212","Belle Fontaine CDP, Alabama","581","215",
"1600000US0105692","Benton town, Alabama","45","35",
"1600000US0105932","Berry town, Alabama","1443","280",
"1600000US0105980","Bessemer city, Alabama","26697","58",
"1600000US0106460","Billingsley town, Alabama","114","54",
"1600000US0107000","Birmingham city, Alabama","212265","612",
"1600000US0107120","Black town, Alabama","165","47",
"1600000US0107456","Blountsville town, Alabama","1750","439",
"1600000US0107588","Blue Ridge CDP, Alabama","1603","228",
"1600000US0107672","Blue Springs town, Alabama","123","60",
"1600000US0107912","Boaz city, Alabama","9580","251",
"1600000US0108104","Boligee town, Alabama","602","244",
"1600000US0108248","Bon Air town, Alabama","100","46",
"1600000US0108272","Bon Secour CDP, Alabama","1078","534",
"1600000US0108680","Boykin CDP, Alabama","136","100",
"1600000US0109016","Brantley town, Alabama","938","185",
"1600000US0109064","Brantleyville CDP, Alabama","1015","215",
"1600000US0109136","Brent city, Alabama","4874","17",
"1600000US0109208","Brewton city, Alabama","5279","23",
"1600000US0109328","Bridgeport city, Alabama","2330","363",
"1600000US0109400","Brighton city, Alabama","2848","19",
"1600000US0109424","Brilliant town, Alabama","980","203",
"1600000US0109457","Bristow Cove CDP, Alabama","762","319",
"1600000US0109500","Brook Highland CDP, Alabama","6748","525",
"1600000US0109736","Brookside town, Alabama","1323","311",
"1600000US0109808","Brookwood town, Alabama","2085","350",
"1600000US0109880","Broomtown CDP, Alabama","151","69",
"1600000US0110240","Brundidge city, Alabama","2205","285",
"1600000US0110456","Bucks CDP, Alabama","49","77",
"1600000US0111032","Butler town, Alabama","2240","368",
"1600000US0111416","Calera city, Alabama","13216","39",
"1600000US0111488","Calvert CDP, Alabama","1101","233",
"1600000US0111512","Camden city, Alabama","2401","423",
"1600000US0111680","Camp Hill town, Alabama","1089","233",
"1600000US0112016","Carbon Hill city, Alabama","1490","271",
"1600000US0112040","Cardiff town, Alabama","45","41",
"1600000US0112070","Carlisle-Rockledge CDP, Alabama","2425","451",
"1600000US0112112","Carlton CDP, Alabama","36","23",
"1600000US0112160","Carolina town, Alabama","343","103",
"1600000US0112304","Carrollton town, Alabama","1039","234",
"1600000US0112496","Castleberry town, Alabama","499","132",
"1600000US0112544","Catherine CDP, Alabama","20","31",
"1600000US0112760","Cedar Bluff town, Alabama","2003","321",
"1600000US0113264","Center Point city, Alabama","16564","27",
"1600000US0113648","Centre city, Alabama","3514","18",
"1600000US0113672","Centreville city, Alabama","2686","17",
"1600000US0114008","Chatom town, Alabama","1077","254",
"1600000US0114104","Chelsea city, Alabama","12199","31",
"1600000US0114152","Cherokee town, Alabama","790","165",
"1600000US0114392","Chickasaw city, Alabama","5889","25",
"1600000US0114464","Childersburg city, Alabama","4991","17",
"1600000US0114728","Choccolocco CDP, Alabama","2572","473",
"1600000US0114968","Chunchula CDP, Alabama","158","116",
"1600000US0115064","Citronelle city, Alabama","3912","33",
"1600000US0115136","Clanton city, Alabama","8701","31",
"1600000US0115256","Clay city, Alabama","9685","77",
"1600000US0115304","Clayhatchee town, Alabama","472","127",
"1600000US0115376","Clayton town, Alabama","2912","19",
"1600000US0115472","Cleveland town, Alabama","1223","197",
"1600000US0115640","Clio city, Alabama","1029","234",
"1600000US0116000","Coaling town, Alabama","1656","300",
"1600000US0116080","Coats Bend CDP, Alabama","1644","416",
"1600000US0116240","Coffee Springs town, Alabama","200","72",
"1600000US0116264","Coffeeville town, Alabama","405","155",
"1600000US0116312","Coker town, Alabama","787","208",
"1600000US0116600","Collinsville town, Alabama","2126","436",
"1600000US0116684","Colony town, Alabama","437","161",
"1600000US0116744","Columbia town, Alabama","571","103",
"1600000US0116768","Columbiana city, Alabama","4343","18",
"1600000US0116936","Concord CDP, Alabama","1750","299",
"1600000US0117176","Coosada town, Alabama","1169","196",
"1600000US0117368","Cordova city, Alabama","2014","278",
"1600000US0117704","Cottondale CDP, Alabama","3746","615",
"1600000US0117824","Cottonwood town, Alabama","1281","183",
"1600000US0117968","County Line town, Alabama","341","179",
"1600000US0118040","Courtland town, Alabama","744","177",
"1600000US0118088","Cowarts town, Alabama","2152","192",
"1600000US0118304","Creola city, Alabama","1738","328",
"1600000US0118856","Crossville town, Alabama","2088","451",
"1600000US0118952","Cuba town, Alabama","438","105",
"1600000US0118976","Cullman city, Alabama","15111","33",
"1600000US0119024","Cullomburg CDP, Alabama","144","84",
"1600000US0119216","Cusseta town, Alabama","114","51",
"1600000US0119336","Dadeville city, Alabama","3144","33",
"1600000US0119360","Daleville city, Alabama","5138","20",
"1600000US0119648","Daphne city, Alabama","24685","32",
"1600000US0119744","Dauphin Island town, Alabama","1262","206",
"1600000US0119816","Daviston town, Alabama","238","72",
"1600000US0119912","Dayton town, Alabama","28","33",
"1600000US0120008","Deatsville town, Alabama","1141","295",
"1600000US0120104","Decatur city, Alabama","54844","45",
"1600000US0120152","Deer Park CDP, Alabama","81","61",
"1600000US0120272","Delta CDP, Alabama","221","139",
"1600000US0120296","Demopolis city, Alabama","6999","22",
"1600000US0120392","Detroit town, Alabama","187","72",
"1600000US0120955","Dodge City town, Alabama","569","127",
"1600000US0121136","Dora city, Alabama","2212","297",
"1600000US0121184","Dothan city, Alabama","67784","307",
"1600000US0121280","Double Springs town, Alabama","1377","301",
"1600000US0121328","Douglas town, Alabama","1202","321",
"1600000US0121448","Dozier town, Alabama","313","85",
"1600000US0121890","Dunnavant CDP, Alabama","899","305",
"1600000US0121952","Dutton town, Alabama","382","97",
"1600000US0122216","East Brewton city, Alabama","3017","547",
"1600000US0122504","East Point CDP, Alabama","175","80",
"1600000US0122816","Eclectic town, Alabama","983","251",
"1600000US0123032","Edgewater CDP, Alabama","813","328",
"1600000US0123176","Edwardsville town, Alabama","236","108",
"1600000US0123224","Egypt CDP, Alabama","810","320",
"1600000US0123296","Elba city, Alabama","3863","35",
"1600000US0123320","Elberta town, Alabama","1612","297",
"1600000US0123344","Eldridge town, Alabama","151","55",
"1600000US0123488","Elkmont town, Alabama","446","116",
"1600000US0123656","Elmore town, Alabama","1717","357",
"1600000US0123872","Emelle town, Alabama","47","36",
"1600000US0123880","Emerald Mountain CDP, Alabama","3104","500",
"1600000US0124184","Enterprise city, Alabama","27776","191",
"1600000US0124256","Epes town, Alabama","166","88",
"1600000US0124472","Ethelsville town, Alabama","215","128",
"1600000US0124568","Eufaula city, Alabama","12467","27",
"1600000US0124616","Eunola CDP, Alabama","311","142",
"1600000US0124664","Eutaw town, Alabama","2761","14",
"1600000US0124688","Eva town, Alabama","584","205",
"1600000US0124808","Evergreen city, Alabama","3742","15",
"1600000US0124880","Excel town, Alabama","1092","321",
"1600000US0125120","Fairfield city, Alabama","10850","26",
"1600000US0125216","Fairford CDP, Alabama","87","99",
"1600000US0125240","Fairhope city, Alabama","19561","63",
"1600000US0125384","Fairview town, Alabama","522","142",
"1600000US0125648","Falkville town, Alabama","1372","278",
"1600000US0125816","Faunsdale town, Alabama","34","27",
"1600000US0125840","Fayette city, Alabama","4421","19",
"1600000US0125864","Fayetteville CDP, Alabama","1395","403",
"1600000US0126152","Fitzpatrick CDP, Alabama","45","47",
"1600000US0126200","Five Points town, Alabama","192","70",
"1600000US0126824","Flomaton town, Alabama","1770","341",
"1600000US0126848","Florala town, Alabama","1751","334",
"1600000US0126896","Florence city, Alabama","39824","47",
"1600000US0126992","Foley city, Alabama","17315","23",
"1600000US0127088","Forestdale CDP, Alabama","10118","777",
"1600000US0127376","Forkland town, Alabama","740","224",
"1600000US0127520","Fort Deposit town, Alabama","1575","344",
"1600000US0127616","Fort Payne city, Alabama","14017","41",
"1600000US0127640","Fort Rucker CDP, Alabama","5149","398",
"1600000US0128024","Franklin town, Alabama","192","75",
"1600000US0128120","Fredonia CDP, Alabama","299","196",
"1600000US0128312","Frisco City town, Alabama","1400","403",
"1600000US0128408","Fruitdale CDP, Alabama","75","73",
"1600000US0128432","Fruithurst town, Alabama","293","75",
"1600000US0128504","Fulton town, Alabama","224","87",
"1600000US0128552","Fultondale city, Alabama","9012","30",
"1600000US0128672","Fyffe town, Alabama","1478","268",
"1600000US0128696","Gadsden city, Alabama","35832","36",
"1600000US0128768","Gainesville town, Alabama","231","86",
"1600000US0128816","Gallant CDP, Alabama","604","248",
"1600000US0128936","Gantt town, Alabama","167","67",
"1600000US0129032","Garden City town, Alabama","498","148",
"1600000US0129056","Gardendale city, Alabama","13799","42",
"1600000US0129296","Gaylesville town, Alabama","194","61",
"1600000US0129392","Geiger town, Alabama","306","103",
