"GEO_ID","NAME","B01003_001E","B01003_001M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total",
"1600000US0100100","Abanda CDP, Alabama","218","165",
"1600000US0100124","Abbeville city, Alabama","2582","24",
"1600000US0100460","Adamsville city, Alabama","4374","24",
"1600000US0100484","Addison town, Alabama","641","159",
"1600000US0100676","Akron town, Alabama","295","102",
"1600000US0100820","Alabaster city, Alabama","32878","57",
"1600000US0100988","Albertville city, Alabama","21460","40",
"1600000US0101132","Alexander City city, Alabama","14621","27",
"1600000US0101180","Alexandria CDP, Alabama","4000","731",
"1600000US0101228","Aliceville city, Alabama","2408","476",
"1600000US0101396","Allgood town, Alabama","674","219",
"1600000US0101660","Altoona town, Alabama","890","236",
"1600000US0101708","Andalusia city, Alabama","8864","31",
"1600000US0101756","Anderson town, Alabama","254","88",
"1600000US0101852","Anniston city, Alabama","21924","27",
"1600000US0102116","Arab city, Alabama","8234","39",
"1600000US0102260","Ardmore town, Alabama","1305","272",
"1600000US0102320","Argo town, Alabama","4235","97",
"1600000US0102428","Ariton town, Alabama","697","189",
"1600000US0102500","Arley town, Alabama","566","155",
"1600000US0102836","Ashford town, Alabama","2346","238",
"1600000US0102860","Ashland town, Alabama","1943","360",
"1600000US0102908","Ashville city, Alabama","2418","433",
"1600000US0102956","Athens city, Alabama","25176","62",
"1600000US0103004","Atmore city, Alabama","9746","21",
"1600000US0103028","Attalla city, Alabama","5847","23",
"1600000US0103076","Auburn city, Alabama","62996","47",
"1600000US0103220","Autaugaville town, Alabama","821","186",
"1600000US0103364","Avon town, Alabama","463","96",
"1600000US0103508","Axis CDP, Alabama","1473","584",
"1600000US0103556","Babbie town, Alabama","557","168",
"1600000US0103676","Baileyton town, Alabama","810","225",
"1600000US0103724","Bakerhill town, Alabama","278","103",
"1600000US0103820","Ballplay CDP, Alabama","1458","315",
"1600000US0103940","Banks town, Alabama","157","75",
"1600000US0104660","Bay Minette city, Alabama","9089","21",
"1600000US0104684","Bayou La Batre city, Alabama","2527","16",
