"GEO_ID","NAME","B01003_001M","B01003_001E",
"Geography","Geographic Area Name","Margin of Error!!Total","Estimate!!Total",
"1600000US0118304","Creola city, Alabama","387","1851",
"1600000US0118856","Crossville town, Alabama","376","1770",
"1600000US0118952","Cuba town, Alabama","144","396",
"1600000US0118976","Cullman city, Alabama","78","14685",
"1600000US0119024","Cullomburg CDP, Alabama","54","84",
"1600000US0119216","Cusseta town, Alabama","36","57",
"1600000US0119336","Dadeville city, Alabama","34","3217",
"1600000US0119360","Daleville city, Alabama","28","5157",
"1600000US0119648","Daphne city, Alabama","28","20817",
"1600000US0119744","Dauphin Island town, Alabama","278","1375",
"1600000US0119816","Daviston town, Alabama","89","274",
"1600000US0119912","Dayton town, Alabama","30","41",
"1600000US0120008","Deatsville town, Alabama","237","829",
"1600000US0120104","Decatur city, Alabama","152","55253",
"1600000US0120152","Deer Park CDP, Alabama","61","64",
"1600000US0120272","Delta CDP, Alabama","188","237",
"1600000US0120296","Demopolis city, Alabama","23","7570",
"1600000US0120392","Detroit town, Alabama","118","229",
"1600000US0120955","Dodge City town, Alabama","155","622",
"1600000US0121136","Dora city, Alabama","355","1981",
"1600000US0121184","Dothan city, Alabama","270","64299",
"1600000US0121280","Double Springs town, Alabama","833","1961",
"1600000US0121328","Douglas town, Alabama","282","801",
"1600000US0121448","Dozier town, Alabama","127","444",
"1600000US0121890","Dunnavant CDP, Alabama","174","685",
"1600000US0121952","Dutton town, Alabama","67","245",
"1600000US0122216","East Brewton city, Alabama","451","2708",
"1600000US0122504","East Point CDP, Alabama","95","238",
"1600000US0122816","Eclectic town, Alabama","226","918",
"1600000US0123032","Edgewater CDP, Alabama","198","533",
"1600000US0123176","Edwardsville town, Alabama","106","234",
"1600000US0123224","Egypt CDP, Alabama","251","1034",
"1600000US0123296","Elba city, Alabama","32","3945",
"1600000US0123320","Elberta town, Alabama","375","1676",
"1600000US0123344","Eldridge town, Alabama","52","105",
"1600000US0123488","Elkmont town, Alabama","120","401",
"1600000US0123656","Elmore town, Alabama","240","1059",
"1600000US0123872","Emelle town, Alabama","9","7",
"1600000US0123880","Emerald Mountain CDP, Alabama","406","2270",
"1600000US0124184","Enterprise city, Alabama","142","25285",
"1600000US0124256","Epes town, Alabama","124","164",
"1600000US0124472","Ethelsville town, Alabama","84","109",
"1600000US0124568","Eufaula city, Alabama","23","13228",
"1600000US0124616","Eunola CDP, Alabama","275","494",
"1600000US0124664","Eutaw town, Alabama","16","3034",
"1600000US0124688","Eva town, Alabama","146","534",
"1600000US0124808","Evergreen city, Alabama","16","3917",
"1600000US0124880","Excel town, Alabama","273","642",
"1600000US0125120","Fairfield city, Alabama","23","11284",
"1600000US0125216","Fairford CDP, Alabama","120","116",
"1600000US0125240","Fairhope city, Alabama","31","14927",
"1600000US0125384","Fairview town, Alabama","117","440",
"1600000US0125648","Falkville town, Alabama","268","1158",
"1600000US0125816","Faunsdale town, Alabama","64","90",
"1600000US0125840","Fayette city, Alabama","21","4682",
"1600000US0125864","Fayetteville CDP, Alabama","326","1059",
"1600000US0126152","Fitzpatrick CDP, Alabama","139","144",
"1600000US0126200","Five Points town, Alabama","93","186",
"1600000US0126824","Flomaton town, Alabama","321","1987",
"1600000US0126848","Florala town, Alabama","548","2820",
"1600000US0126896","Florence city, Alabama","34","38821",
"1600000US0126992","Foley city, Alabama","45","13570",
"1600000US0127088","Forestdale CDP, Alabama","681","10811",
"1600000US0127376","Forkland town, Alabama","168","453",
"1600000US0127520","Fort Deposit town, Alabama","258","1115",
"1600000US0127616","Fort Payne city, Alabama","28","13862",
"1600000US0127640","Fort Rucker CDP, Alabama","559","4886",
"1600000US0128024","Franklin town, Alabama","118","329",
"1600000US0128120","Fredonia CDP, Alabama","88","208",
"1600000US0128312","Frisco City town, Alabama","273","1516",
"1600000US0128408","Fruitdale CDP, Alabama","54","59",
"1600000US0128432","Fruithurst town, Alabama","80","218",
"1600000US0128504","Fulton town, Alabama","111","277",
"1600000US0128552","Fultondale city, Alabama","41","8093",
"1600000US0128672","Fyffe town, Alabama","209","930",
"1600000US0128696","Gadsden city, Alabama","55","37162",
"1600000US0128768","Gainesville town, Alabama","88","196",
"1600000US0128816","Gallant CDP, Alabama","366","1238",
"1600000US0128936","Gantt town, Alabama","102","251",
"1600000US0129032","Garden City town, Alabama","223","694",
"1600000US0129056","Gardendale city, Alabama","53","13420",
"1600000US0129296","Gaylesville town, Alabama","97","151",
"1600000US0129392","Geiger town, Alabama","171","274",
"1600000US0129464","Geneva city, Alabama","30","4466",
"1600000US0129560","Georgiana town, Alabama","288","1624",
"1600000US0129608","Geraldine town, Alabama","141","722",
"1600000US0129704","Gilbertown town, Alabama","117","190",
"1600000US0129944","Glen Allen town, Alabama","225","643",
"1600000US0129992","Glencoe city, Alabama","45","5107",
"1600000US0130160","Glenwood town, Alabama","107","209",
"1600000US0130448","Goldville town, Alabama","33","42",
"1600000US0130496","Good Hope town, Alabama","394","2279",
"1600000US0130640","Goodwater town, Alabama","321","1517",
"1600000US0130736","Gordo town, Alabama","255","1820",
"1600000US0130760","Gordon town, Alabama","63","290",
"1600000US0130808","Gordonville town, Alabama","78","310",
"1600000US0130880","Goshen town, Alabama","87","213",
"1600000US0131000","Graham CDP, Alabama","141","298",
"1600000US0131024","Grand Bay CDP, Alabama","647","3764",
"1600000US0131096","Grant town, Alabama","229","883",
"1600000US0131348","Grayson Valley CDP, Alabama","723","5121",
"1600000US0131384","Graysville city, Alabama","519","2370",
"1600000US0131720","Greensboro city, Alabama","456","2629",
"1600000US0131912","Greenville city, Alabama","23","7924",
"1600000US0132056","Grimes town, Alabama","109","421",
"1600000US0132080","Grove Hill town, Alabama","343","1415",
"1600000US0132224","Guin city, Alabama","302","2381",
"1600000US0132248","Gulfcrest CDP, Alabama","15","9",
"1600000US0132272","Gulf Shores city, Alabama","26","9035",
"1600000US0132416","Guntersville city, Alabama","24","8077",
"1600000US0132440","Gurley town, Alabama","185","855",
"1600000US0132536","Gu-Win town, Alabama","73","158",
"1600000US0132560","Hackleburg town, Alabama","304","1824",
